record_id,student_id,group_id,session_type,session_datetime,status,source_month,attended_flag
AT000001,S0005,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000002,S0009,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000003,S0014,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000004,S0016,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000005,S0021,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000006,S0032,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000007,S0040,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000008,S0046,G01,session,2025-12-04 16:00:00,absent,2025-12,False
AT000009,S0053,G01,session,2025-12-04 16:00:00,absent,2025-12,False
AT000010,S0057,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000011,S0094,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000012,S0095,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000013,S0125,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000014,S0128,G01,session,2025-12-04 16:00:00,absent,2025-12,False
AT000015,S0131,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000016,S0134,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000017,S0138,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000018,S0143,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000019,S0145,G01,session,2025-12-04 16:00:00,absent,2025-12,False
AT000020,S0146,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000021,S0173,G01,session,2025-12-04 16:00:00,absent,2025-12,False
AT000022,S0174,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000023,S0192,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000024,S0196,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000025,S0238,G01,session,2025-12-04 16:00:00,absent,2025-12,False
AT000026,S0239,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000027,S0245,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000028,S0262,G01,session,2025-12-04 16:00:00,absent,2025-12,False
AT000029,S0265,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000030,S0278,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000031,S0310,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000032,S0313,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000033,S0324,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000034,S0329,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000035,S0380,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000036,S0383,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000037,S0384,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000038,S0395,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000039,S0402,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000040,S0407,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000041,S0410,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000042,S0420,G01,session,2025-12-04 16:00:00,attended,2025-12,True
AT000043,S0425,G01,session,2025-12-04 16:00:00,attended,2025-12,True
