record_id,student_id,group_id,session_type,session_datetime,status
AT000001,S0005,G01,session,2025-12-04 16:00:00,attended
AT000002,S0009,G01,session,2025-12-04 16:00:00,attended
AT000003,S0014,G01,session,2025-12-04 16:00:00,attended
AT000004,S0016,G01,session,2025-12-04 16:00:00,attended
AT000005,S0021,G01,session,2025-12-04 16:00:00,attended
AT000006,S0032,G01,session,2025-12-04 16:00:00,attended
AT000007,S0040,G01,session,2025-12-04 16:00:00,attended
AT000008,S0046,G01,session,2025-12-04 16:00:00,absent
AT000009,S0053,G01,session,2025-12-04 16:00:00,absent
AT000010,S0057,G01,session,2025-12-04 16:00:00,attended
AT000011,S0094,G01,session,2025-12-04 16:00:00,attended
AT000012,S0095,G01,session,2025-12-04 16:00:00,attended
AT000013,S0125,G01,session,2025-12-04 16:00:00,attended
AT000014,S0128,G01,session,2025-12-04 16:00:00,absent
AT000015,S0131,G01,session,2025-12-04 16:00:00,attended
AT000016,S0134,G01,session,2025-12-04 16:00:00,attended
AT000017,S0138,G01,session,2025-12-04 16:00:00,attended
AT000018,S0143,G01,session,2025-12-04 16:00:00,attended
AT000019,S0145,G01,session,2025-12-04 16:00:00,absent
AT000020,S0146,G01,session,2025-12-04 16:00:00,attended
AT000021,S0173,G01,session,2025-12-04 16:00:00,absent
AT000022,S0174,G01,session,2025-12-04 16:00:00,attended
AT000023,S0192,G01,session,2025-12-04 16:00:00,attended
AT000024,S0196,G01,session,2025-12-04 16:00:00,attended
AT000025,S0238,G01,session,2025-12-04 16:00:00,absent
AT000026,S0239,G01,session,2025-12-04 16:00:00,attended
AT000027,S0245,G01,session,2025-12-04 16:00:00,attended
AT000028,S0262,G01,session,2025-12-04 16:00:00,absent
AT000029,S0265,G01,session,2025-12-04 16:00:00,attended
AT000030,S0278,G01,session,2025-12-04 16:00:00,attended
AT000031,S0310,G01,session,2025-12-04 16:00:00,attended
AT000032,S0313,G01,session,2025-12-04 16:00:00,attended
AT000033,S0324,G01,session,2025-12-04 16:00:00,attended
AT000034,S0329,G01,session,2025-12-04 16:00:00,attended
AT000035,S0380,G01,session,2025-12-04 16:00:00,attended
AT000036,S0383,G01,session,2025-12-04 16:00:00,attended
AT000037,S0384,G01,session,2025-12-04 16:00:00,attended
AT000038,S0395,G01,session,2025-12-04 16:00:00,attended
AT000039,S0402,G01,session,2025-12-04 16:00:00,attended
AT000040,S0407,G01,session,2025-12-04 16:00:00,attended
AT000041,S0410,G01,session,2025-12-04 16:00:00,attended
AT000042,S0420,G01,session,2025-12-04 16:00:00,attended
AT000043,S0425,G01,session,2025-12-04 16:00:00,attended
AT000044,S0433,G01,session,2025-12-04 16:00:00,attended
AT000045,S0444,G01,session,2025-12-04 16:00:00,attended
AT000046,S0454,G01,session,2025-12-04 16:00:00,attended
AT000047,S0471,G01,session,2025-12-04 16:00:00,attended
AT000048,S0474,G01,session,2025-12-04 16:00:00,attended
AT000049,S0479,G01,session,2025-12-04 16:00:00,attended
AT000050,S0482,G01,session,2025-12-04 16:00:00,attended
AT000051,S0493,G01,session,2025-12-04 16:00:00,attended
AT000052,S0499,G01,session,2025-12-04 16:00:00,attended
AT000053,S0005,G01,session,2025-12-11 16:00:00,attended
AT000054,S0009,G01,session,2025-12-11 16:00:00,absent
AT000055,S0014,G01,session,2025-12-11 16:00:00,attended
AT000056,S0016,G01,session,2025-12-11 16:00:00,attended
AT000057,S0021,G01,session,2025-12-11 16:00:00,attended
AT000058,S0032,G01,session,2025-12-11 16:00:00,attended
AT000059,S0040,G01,session,2025-12-11 16:00:00,attended
AT000060,S0046,G01,session,2025-12-11 16:00:00,attended
AT000061,S0053,G01,session,2025-12-11 16:00:00,absent
AT000062,S0057,G01,session,2025-12-11 16:00:00,attended
AT000063,S0094,G01,session,2025-12-11 16:00:00,attended
AT000064,S0095,G01,session,2025-12-11 16:00:00,attended
AT000065,S0125,G01,session,2025-12-11 16:00:00,attended
AT000066,S0128,G01,session,2025-12-11 16:00:00,attended
AT000067,S0131,G01,session,2025-12-11 16:00:00,attended
AT000068,S0134,G01,session,2025-12-11 16:00:00,attended
