grade_id,assessment_id,assessment_title,type,score,max_score,date,student_id,course_id,group_id
GR00001,C002-QZ,Quiz 1,quiz,0.0,100,2025-12-27,S0001,C002,G03
GR00002,C002-QZ,Quiz 2,quiz,69.1,100,2026-01-10,S0001,C002,G03
GR00003,C002-QZ,Quiz 3,quiz,84.6,100,2026-01-24,S0001,C002,G03
GR00004,C002-QZ,Quiz 4,quiz,88.2,100,2026-02-07,S0001,C002,G03
GR00005,C002-AS,Assignment 1,assignment,67.4,100,2026-02-21,S0001,C002,G03
GR00006,C002-AS,Assignment 2,assignment,61.8,100,2026-03-07,S0001,C002,G03
GR00007,C002-AS,Assignment 3,assignment,63.4,100,2026-03-21,S0001,C002,G03
GR00008,C002-PR,Practical 1,practical,79.3,100,2026-04-04,S0001,C002,G03
GR00009,C002-PR,Practical 2,practical,86.8,100,2026-04-18,S0001,C002,G03
GR00010,C002-EX,Midterm Exam,exam,87.2,100,2026-05-02,S0001,C002,G03
GR00011,C002-EXF,Final Exam,exam,82.1,100,2026-05-16,S0001,C002,G03
GR00012,C004-QZ,Quiz 1,quiz,97.1,100,2025-12-17,S0002,C004,G06
GR00013,C004-QZ,Quiz 2,quiz,100.0,100,2026-01-01,S0002,C004,G06
GR00014,C004-QZ,Quiz 3,quiz,93.8,100,2026-01-16,S0002,C004,G06
GR00015,C004-QZ,Quiz 4,quiz,90.4,100,2026-01-31,S0002,C004,G06
GR00016,C004-AS,Assignment 1,assignment,90.6,100,2026-02-15,S0002,C004,G06
GR00017,C004-AS,Assignment 2,assignment,78.3,100,2026-03-02,S0002,C004,G06
GR00018,C004-AS,Assignment 3,assignment,72.9,100,2026-03-16,S0002,C004,G06
GR00019,C004-PR,Practical 1,practical,82.1,100,2026-03-31,S0002,C004,G06
GR00020,C004-PR,Practical 2,practical,72.0,100,2026-04-15,S0002,C004,G06
GR00021,C004-EX,Midterm Exam,exam,83.7,100,2026-04-30,S0002,C004,G06
GR00022,C004-EXF,Final Exam,exam,87.7,100,2026-05-15,S0002,C004,G06
GR00023,C003-QZ,Quiz 1,quiz,62.1,100,2025-12-30,S0003,C003,G05
GR00024,C003-QZ,Quiz 2,quiz,75.9,100,2026-01-13,S0003,C003,G05
GR00025,C003-QZ,Quiz 3,quiz,73.8,100,2026-01-27,S0003,C003,G05
GR00026,C003-QZ,Quiz 4,quiz,0.0,100,2026-02-09,S0003,C003,G05
GR00027,C003-AS,Assignment 1,assignment,81.3,100,2026-02-23,S0003,C003,G05
GR00028,C003-AS,Assignment 2,assignment,66.0,100,2026-03-09,S0003,C003,G05
GR00029,C003-AS,Assignment 3,assignment,63.5,100,2026-03-22,S0003,C003,G05
GR00030,C003-PR,Practical 1,practical,66.4,100,2026-04-05,S0003,C003,G05
GR00031,C003-PR,Practical 2,practical,62.2,100,2026-04-19,S0003,C003,G05
GR00032,C003-EX,Midterm Exam,exam,78.3,100,2026-05-02,S0003,C003,G05
GR00033,C003-EXF,Final Exam,exam,84.8,100,2026-05-16,S0003,C003,G05
GR00034,C001-QZ,Quiz 1,quiz,86.7,100,2025-12-26,S0004,C001,G02
GR00035,C001-QZ,Quiz 2,quiz,77.6,100,2026-01-09,S0004,C001,G02
GR00036,C001-QZ,Quiz 3,quiz,77.6,100,2026-01-23,S0004,C001,G02
GR00037,C001-QZ,Quiz 4,quiz,89.9,100,2026-02-06,S0004,C001,G02
GR00038,C001-AS,Assignment 1,assignment,0.0,100,2026-02-20,S0004,C001,G02
GR00039,C001-AS,Assignment 2,assignment,75.7,100,2026-03-06,S0004,C001,G02
GR00040,C001-AS,Assignment 3,assignment,79.9,100,2026-03-20,S0004,C001,G02
GR00041,C001-PR,Practical 1,practical,80.3,100,2026-04-03,S0004,C001,G02
GR00042,C001-PR,Practical 2,practical,89.5,100,2026-04-17,S0004,C001,G02
GR00043,C001-EX,Midterm Exam,exam,80.0,100,2026-05-01,S0004,C001,G02
GR00044,C001-EXF,Final Exam,exam,79.7,100,2026-05-15,S0004,C001,G02
GR00045,C001-QZ,Quiz 1,quiz,10.0,10,2025-12-27,S0005,C001,G01
GR00046,C001-QZ,Quiz 2,quiz,72.7,100,2026-01-10,S0005,C001,G01
GR00047,C001-QZ,Quiz 3,quiz,74.5,100,2026-01-24,S0005,C001,G01
GR00048,C001-QZ,Quiz 4,quiz,80.3,100,2026-02-07,S0005,C001,G01
GR00049,C001-AS,Assignment 1,assignment,69.8,100,2026-02-21,S0005,C001,G01
GR00050,C001-AS,Assignment 2,assignment,61.3,100,2026-03-07,S0005,C001,G01
GR00051,C001-AS,Assignment 3,assignment,58.6,100,2026-03-21,S0005,C001,G01
GR00052,C001-PR,Practical 1,practical,74.7,100,2026-04-04,S0005,C001,G01
GR00053,C001-PR,Practical 2,practical,85.9,100,2026-04-18,S0005,C001,G01
GR00054,C001-EX,Midterm Exam,exam,60.4,100,2026-05-02,S0005,C001,G01
GR00055,C001-EXF,Final Exam,exam,62.0,100,2026-05-16,S0005,C001,G01
GR00056,C005-QZ,Quiz 1,quiz,75.0,100,2025-12-20,S0006,C005,G07
GR00057,C005-QZ,Quiz 2,quiz,75.0,100,2026-01-04,S0006,C005,G07
GR00058,C005-QZ,Quiz 3,quiz,75.0,100,2026-01-18,S0006,C005,G07
GR00059,C005-QZ,Quiz 4,quiz,75.0,100,2026-02-02,S0006,C005,G07
GR00060,C005-AS,Assignment 1,assignment,75.0,100,2026-02-16,S0006,C005,G07
GR00061,C005-AS,Assignment 2,assignment,75.0,100,2026-03-03,S0006,C005,G07
GR00062,C005-AS,Assignment 3,assignment,75.0,100,2026-03-18,S0006,C005,G07
GR00063,C005-PR,Practical 1,practical,75.0,100,2026-04-01,S0006,C005,G07
GR00064,C005-PR,Practical 2,practical,75.0,100,2026-04-16,S0006,C005,G07
GR00065,C005-EX,Midterm Exam,exam,75.0,100,2026-04-30,S0006,C005,G07
GR00066,C005-EXF,Final Exam,exam,75.0,100,2026-05-15,S0006,C005,G07
GR00067,C002-QZ,Quiz 1,quiz,68.5,100,2025-12-27,S0007,C002,G04
GR00068,C002-QZ,Quiz 2,quiz,75.2,100,2026-01-10,S0007,C002,G04
GR00069,C002-QZ,Quiz 3,quiz,81.3,100,2026-01-24,S0007,C002,G04
GR00070,C002-QZ,Quiz 4,quiz,61.0,100,2026-02-07,S0007,C002,G04
GR00071,C002-AS,Assignment 1,assignment,72.3,100,2026-02-21,S0007,C002,G04
GR00072,C002-AS,Assignment 2,assignment,71.5,100,2026-03-07,S0007,C002,G04
GR00073,C002-AS,Assignment 3,assignment,64.5,100,2026-03-21,S0007,C002,G04
GR00074,C002-PR,Practical 1,practical,77.6,100,2026-04-04,S0007,C002,G04
GR00075,C002-PR,Practical 2,practical,85.3,100,2026-04-18,S0007,C002,G04
GR00076,C002-EX,Midterm Exam,exam,57.8,100,2026-05-02,S0007,C002,G04
GR00077,C002-EXF,Final Exam,exam,83.1,100,2026-05-16,S0007,C002,G04
GR00078,C002-QZ,Quiz 1,quiz,80.9,100,2025-12-18,S0008,C002,G04
GR00079,C002-QZ,Quiz 2,quiz,84.5,100,2026-01-02,S0008,C002,G04
